id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
1,-0.8526672279999999,49.856,118.8,1,0,0,0,0,16.32096,0,18.762237,6.162105,9.39728,0,1,0,1,0,0,0,0,0.0004,0.0,0.9709,0.0003,6,6,24.7138,0,0,7,0.056546400000000004,0.1128597
3,5.95119907,66.725,41.8,0,1,0,0,0,17.07023,27,10.879595,7.85423,12.9768,0,0,0,0,1,0,0,0,0.0051,0.0,0.965,0.0,6,6,48.3807,0,1,4,0.067855,0.1339441
4,-2.030599328,41.696000000000005,132.0,0,0,1,0,0,16.3146,0,9.7629269,7.545124,30.4279,0,0,0,0,1,0,0,0,0.9289,0.0,0.0091,0.0001,6,4,59.841,0,0,7,0.1332304,0.260102
5,-6.143410482999999,71.351,24.2,1,0,0,0,0,11.1079,31,151.58182,9.20704,0.0,1,0,1,0,0,0,1,0,0.8028,0.0,0.0051,0.0,5,7,175.925,0,0,3,0.3185837,0.6277294
7,0.174651401,67.87899999999999,42.3,0,0,0,0,1,15.079120000000001,31,124.27696,7.091951,0.0,0,1,0,0,0,0,0,0,0.8748,0.0002,0.0022,0.0001,7,3,81.3357,0,0,5,0.21966479999999997,0.43610129999999997
9,0.168218862,75.56829300000001,8.0,0,0,0,0,0,15.85385,45,92.974691,10.2731,0.44764499999999996,0,1,0,0,0,0,0,0,0.8324,0.0009,0.0204,0.0,8,4,73.9691,1,0,1,0.2852896,0.5392365
10,3.0727437760000003,64.827,75.9,0,0,0,0,0,15.783879999999998,31,86.028095,7.4281369999999995,23.3367,0,1,0,0,0,0,0,0,0.0389,0.0031,0.9,0.0,7,3,83.0969,0,0,5,0.1851132,0.3425313
11,-0.7301548459999999,70.705,19.6,1,0,0,0,0,12.454239999999999,31,25.607992000000003,9.985868,0.117247,1,0,1,0,0,1,0,0,0.8222,0.0016,0.0,0.0,6,6,110.12,0,0,2,0.2929382,0.5830948
12,2.4146915769999997,72.39,19.6,1,0,0,0,0,13.114189999999999,31,718.74058,9.66117,37.6808,1,0,0,1,0,0,0,0,0.0526,0.0005,0.8635,0.0002,6,6,210.16099999999997,0,0,6,0.2446785,0.4429865
14,-5.510572666,71.383,16.0,1,0,0,0,0,12.46987,31,605.52093,9.455229,0.592806,1,0,1,0,0,1,0,0,0.6894,0.0001,0.0042,0.0004,6,6,100.831,0,0,1,0.43113500000000005,0.8503504000000001
15,0.26529449899999996,70.836585,12.2,0,0,0,0,0,16.13682,31,50.23171,7.7526660000000005,1.6923400000000002,0,1,0,0,0,0,0,0,0.6964,0.0029,0.0015,0.0001,5,6,89.6074,0,0,4,0.4255556,0.8398061
16,-0.060744930999999995,76.051951,8.3,0,0,0,0,0,16.114829999999998,45,325.89799999999997,10.255289999999999,0.000295,0,0,0,0,0,0,0,0,0.8524,0.0032,0.0316,0.002,6,6,132.332,1,0,1,0.2601248,0.4765666
17,3.152170154,71.24600000000001,31.3,1,0,0,0,0,12.141810000000001,31,8.2223586,7.922650999999999,0.9136280000000001,0,0,1,0,0,1,0,0,0.8673,0.0111,0.0053,0.0032,6,6,122.285,0,0,1,0.2348376,0.4452922
18,-2.339982027,53.812,107.1,0,1,0,0,0,15.420639999999999,31,44.151259,6.186163,5.2782,0,0,0,0,1,0,0,0,0.2758,0.0,0.1836,0.0,7,6,40.6187,0,0,6,0.5979770000000001,0.8674625
19,-1.847126209,52.879,89.6,1,0,0,0,0,13.194270000000001,45,11.499262,6.426776,20.836,0,1,1,1,0,0,0,0,0.0092,0.0,0.0103,0.7376,4,7,61.2636,0,0,6,0.39675509999999997,0.7504711
20,1.437287279,55.104,85.3,0,0,0,1,0,15.740670000000001,42,6.3290354,6.716951,10.6626,0,1,0,0,0,0,1,0,0.9543,0.0004,0.0002,0.0007,6,6,46.7033,0,0,2,0.0873395,0.1740119
22,-4.051502724,61.905,39.5,1,0,0,0,0,14.136079999999998,31,2.4313377,8.226801,1.5331,0,1,1,0,1,0,0,0,0.5421,0.0002,0.0018,0.0,5,7,104.84700000000001,0,0,1,0.4982795,0.9906232
23,0.78780266,65.3,52.6,0,0,1,0,0,18.821820000000002,45,17.869065,8.304753,2.48925,0,0,0,0,0,0,1,0,0.9538,0.0006,0.0003,0.0016,7,4,15.1618,1,0,2,0.0883529,0.1754359
24,2.333935847,71.641463,14.6,0,0,0,0,1,15.980929999999999,45,78.80583,8.063782000000002,0.8043640000000001,0,0,0,0,0,0,0,0,0.7657,0.0005,0.1235,0.0,7,4,69.8471,0,0,3,0.38628490000000004,0.6462491
26,0.235405637,48.053000000000004,105.4,0,0,0,0,0,15.504760000000001,30,210.88065,5.357094,9.320689999999999,0,1,0,0,1,0,0,0,0.8962,0.0,0.0194,0.0,7,6,35.6481,0,0,7,0.1893258,0.3610429
28,-2.114191434,53.595,84.7,0,1,0,0,0,16.00977,0,50.834703999999995,5.4447410000000005,20.3918,0,0,0,0,1,0,0,0,0.011000000000000001,0.0,0.0233,0.8466,6,5,13.5338,0,0,7,0.26841970000000004,0.49236769999999996
29,-1.433517799,52.208999999999996,86.0,0,1,0,0,0,16.2764,28,24.783097,6.877133000000001,11.3311,0,0,0,0,1,0,0,0,0.5258,0.0,0.212,0.0,7,6,37.4964,0,0,6,0.6098415,0.8689551
31,-1.58985359,48.766999999999996,114.9,0,1,0,0,0,14.89385,31,4.7188995,6.000051999999999,3.7919699999999996,0,1,0,0,1,0,0,0,0.6326,0.0,0.1553,0.0,7,6,42.3895,0,0,6,0.5307126999999999,0.8113779000000001
32,-1.854427145,46.952,112.1,0,1,0,0,0,15.60005,0,4.7306695,6.086896,4.51907,0,1,0,0,1,0,0,0,0.3179,0.0,0.47,0.0001,7,6,41.387,0,0,7,0.6330956,0.8857048000000001
33,3.3240249669999997,73.68,16.1,0,0,0,1,0,16.39891,44,17.809767,8.303574000000001,11.8951,0,0,0,0,0,0,1,0,0.943,0.0007,0.0002,0.0001,6,6,64.5357,0,0,2,0.1076145,0.21459250000000002
35,-1.01934141,68.292,28.9,0,0,0,1,0,17.349829999999997,0,30.889197999999997,7.921613000000001,9.10708,0,0,0,0,0,0,1,0,0.9591,0.0003,0.0006,0.0,6,5,35.3864,0,0,3,0.07852669999999999,0.156637
37,0.8319423229999999,49.043,119.7,0,0,0,0,0,17.35979,23,15.268556,6.224655,15.8977,0,0,0,0,1,0,0,0,0.9365,0.0,0.0122,0.0001,6,6,58.7084,0,0,6,0.12019749999999998,0.23330320000000002
40,-3.888366134,52.486000000000004,104.1,0,1,0,0,0,16.32248,31,38.577843,7.004853,2.96867,0,0,0,0,1,0,0,0,0.294,0.0,0.3867,0.0004,7,6,58.8015,0,0,6,0.6623296999999999,0.8880037000000001
41,1.181908773,72.170488,11.1,0,0,0,0,0,15.37995,31,85.494545,9.094625,1.7795900000000002,0,0,0,0,0,0,0,0,0.8972,0.0002,0.0182,0.0,8,4,163.78,0,0,3,0.1875775,0.35839240000000006
42,-0.756714223,74.64399999999999,10.5,0,0,0,1,0,16.174670000000003,40,98.529618,8.200313000000001,0.9504969999999999,1,0,0,0,0,1,0,0,0.7229,0.0001,0.0008,0.0006,6,6,71.1145,0,0,7,0.4014592,0.7993249
43,-3.20550927,76.554,9.9,1,0,0,0,0,13.54974,30,82.966883,9.76026,0.043762,1,0,0,0,0,0,0,0,0.7426,0.0002,0.19,0.0,6,6,108.60799999999999,0,0,1,0.40792940000000005,0.7015915
44,2.6132786340000003,71.383902,10.3,0,0,0,0,0,16.15089,31,133.73049,9.243958000000001,0.078709,0,1,0,0,0,0,0,0,0.2978,0.0007,0.0001,0.001,8,4,78.2285,0,0,6,0.4207535,0.8369913
45,0.644396093,74.805366,7.3,0,0,0,0,0,15.45275,45,121.27716000000001,10.51862,0.78581,0,0,0,0,0,0,0,0,0.9294,0.0013,0.0107,0.0022,6,6,69.7077,0,0,1,0.13291370000000002,0.256418
47,1.250535838,71.963415,14.2,1,0,0,0,0,11.16939,31,94.568,8.302346,0.08357300000000001,1,0,0,0,0,1,0,0,0.965,0.0,0.0,0.0013,5,7,135.079,0,0,2,0.0676376,0.1347679
49,0.757518265,68.99,42.4,0,0,0,1,0,16.139670000000002,45,36.909735,7.8721570000000005,21.6567,0,0,0,0,0,0,1,0,0.9621,0.0001,0.0,0.0001,6,6,64.9792,0,0,2,0.0729423,0.1457974
51,2.601313723,63.99,46.1,0,0,0,1,0,15.474689999999999,0,253.61892000000003,7.521453999999999,1.29601,0,0,0,0,0,0,1,0,0.9671,0.0001,0.0003,0.0001,6,6,49.7825,0,0,3,0.06366770000000001,0.1271466
52,3.214948895,48.239,121.0,0,0,0,1,0,12.96418,31,15.217326000000002,7.015221,12.5787,0,0,0,0,1,0,0,0,0.9155,0.0,0.02,0.0,7,5,101.745,0,0,7,0.15729949999999998,0.300427
53,-1.5572974290000001,49.589,92.7,0,0,0,0,0,14.9512,31,30.824861,5.030368,0.0,0,0,0,0,1,0,0,0,0.4855,0.0,0.4863,0.0,6,6,56.3772,0,0,6,0.5270068,0.9741179
54,-0.233508181,69.47561,14.0,0,0,0,0,0,14.266060000000001,31,37.017551,8.819529,0.0,0,0,0,0,0,0,0,0,0.4362,0.0011,0.0027,0.0003,6,6,143.718,0,0,2,0.49645690000000003,0.9808529
55,-1.34011767,47.1,120.2,0,0,0,0,0,17.68851,0,48.086515999999996,4.948077,6.43954,0,1,0,0,1,0,0,0,0.5660000000000001,0.0002,0.32,0.0,6,6,14.4063,1,0,7,0.5642935,0.8805728999999999
57,0.211639065,74.813171,5.5,0,0,0,0,0,15.422229999999999,45,16.370960999999998,10.26795,1.0392700000000001,0,0,0,0,0,0,0,0,0.89,0.0003,0.0016,0.0004,6,6,46.6143,0,0,1,0.1962979,0.38993540000000004
58,-0.842662493,76.6,7.4,0,0,0,0,0,17.88476,41,106.85982,10.247060000000001,0.16175,0,0,0,0,0,0,0,0,0.7864,0.0101,0.0319,0.0054,7,5,43.8501,0,0,1,0.3528038,0.6249691999999999
59,0.710660161,61.215,60.2,0,1,0,0,0,13.766539999999999,30,3.695471,9.019202,34.6789,0,0,0,0,1,0,0,0,0.8627,0.0,0.0428,0.0,7,6,76.8974,0,0,4,0.2449866,0.4481019
60,2.746908593,52.176,82.4,1,0,0,0,0,13.72865,30,90.593676,6.050731,2.68751,0,0,0,0,1,0,0,0,0.0405,0.0,0.8586,0.0,6,6,131.485,0,0,2,0.250985,0.45986640000000006
61,2.468423109,70.268,40.8,0,0,0,0,0,15.38454,31,84.012737,7.6907369999999995,0.36756500000000003,0,0,0,0,0,0,0,0,0.8458,0.0036,0.11,0.0,7,4,85.6379,0,0,6,0.270861,0.49069830000000003
63,1.426855737,56.755,79.3,1,0,0,0,0,16.49847,28,64.28874,6.390283,4.36304,0,0,1,0,1,0,0,0,0.5514,0.0,0.1951,0.0,7,6,42.7282,0,0,6,0.5936316999999999,0.8600109
64,0.89352177,76.939024,9.2,0,0,0,0,1,16.13758,41,79.106222,9.673008,0.243896,0,0,0,0,0,0,0,0,0.96,0.0006,0.0199,0.0,6,6,48.7495,0,0,1,0.0776234,0.1505013
65,0.071749649,68.6,18.1,1,0,0,0,0,11.47505,30,283.18529,8.311214,0.0,1,0,1,0,0,1,0,0,0.8270000000000001,0.0,0.0,0.0,5,7,105.214,0,0,2,0.286142,0.572284
66,2.147875306,62.261,60.1,0,0,0,1,0,16.041629999999998,0,86.44842299999999,7.444263,2.7813,0,0,0,0,0,0,1,0,0.9254,0.0001,0.0001,0.0002,6,6,45.8695,0,0,3,0.1381291,0.2759281
68,0.810507153,49.071000000000005,132.3,0,0,1,0,0,13.827720000000001,20,35.998578,6.0566580000000005,10.0373,0,0,0,0,1,0,0,0,0.1196,0.0,0.33,0.0,5,6,46.9705,0,0,6,0.5738555999999999,0.8870331
69,0.792778808,63.29,46.6,1,0,0,0,0,13.518870000000001,31,3.7760172999999995,6.997414999999999,13.995,0,0,0,0,0,0,1,0,0.4221,0.0001,0.08,0.0021,5,6,142.566,0,0,5,0.5697087,0.9310871
70,-0.06087659,54.608999999999995,100.3,0,1,0,0,0,15.775570000000002,44,257.61001,6.3996010000000005,0.969877,1,0,0,0,0,1,0,0,0.915,0.0,0.0003,0.0,6,6,39.8075,0,0,4,0.15560079999999998,0.3109226
71,3.2237502439999997,66.725,45.1,0,0,0,1,0,15.415970000000002,43,44.287496999999995,7.045093,6.80952,0,0,0,0,0,1,0,0,0.9637,0.0001,0.0012,0.0005,5,6,77.1476,0,0,2,0.0700904,0.13945339999999998
72,0.76124501,69.31560999999999,15.2,0,0,0,0,0,16.15481,44,115.43327,9.051471000000001,1.9747299999999999,0,1,0,0,0,0,0,0,0.777,0.0096,0.0016,0.0001,8,4,59.677,0,0,2,0.3513594,0.6802183
